Month,Avg. Players,Gain,% Gain,Peak Players,Game,Patch_Count,Google_Trends_Index
2012-07-01,52721.05,0.0,0.0,75041.0,Dota 2,0,32.0
2012-08-01,55768.61,3047.5599999999977,5.780537375488533,108689.0,Dota 2,0,32.0
2012-09-01,61867.68,6099.07,10.936385181556432,118724.0,Dota 2,0,33.0
2012-10-01,75965.44,14097.760000000002,22.78695435160976,171860.0,Dota 2,0,33.0
2012-11-01,101077.43,25111.98999999999,33.057124397620804,169631.0,Dota 2,0,40.0
2012-12-01,121924.42,20846.990000000005,20.62477251350772,213521.0,Dota 2,0,43.0
2013-01-01,147748.14,25823.720000000016,21.18010485512256,260989.0,Dota 2,0,48.0
2013-02-01,166972.97,19224.829999999987,13.011893076961906,283870.0,Dota 2,0,45.0
2013-03-01,180878.9,13905.929999999991,8.328252171593997,325598.0,Dota 2,0,48.0
2013-04-01,174835.73,-6043.169999999984,-3.3410032900465363,299667.0,Dota 2,0,47.0
2013-05-01,194363.84,19528.109999999982,11.169404560498007,325815.0,Dota 2,0,53.0
2013-06-01,210224.82,15860.98000000001,8.160458241615318,326160.0,Dota 2,0,52.0
2013-07-01,237800.08,27575.25999999998,13.11703346921642,422617.0,Dota 2,0,62.0
2013-08-01,330720.07,92919.99000000002,39.074835466834166,520532.0,Dota 2,0,80.0
2013-09-01,312424.76,-18295.31,-5.531962423689617,566715.0,Dota 2,0,55.0
2013-10-01,329677.64,17252.880000000005,5.522251181372438,581615.0,Dota 2,0,60.0
2013-11-01,348246.37,18568.72999999998,5.63238987029875,702792.0,Dota 2,0,64.0
2013-12-01,366606.49,18360.119999999995,5.272164071659955,685503.0,Dota 2,0,66.0
2014-01-01,393860.32,27253.830000000016,7.434082795424603,673496.0,Dota 2,0,64.0
2014-02-01,421114.2,27253.880000000005,6.919681576453297,738682.0,Dota 2,0,58.0
2014-03-01,409755.56,-11358.640000000014,-2.6972825898533017,698197.0,Dota 2,0,58.0
2014-04-01,421710.21,11954.650000000023,2.917507696539865,734998.0,Dota 2,0,58.0
2014-05-01,482387.24,60677.02999999997,14.38832367848053,843024.0,Dota 2,0,72.0
2014-06-01,513783.06,31395.820000000007,6.508426715433021,833145.0,Dota 2,0,73.0
2014-07-01,537018.66,23235.600000000035,4.522453504013938,874975.0,Dota 2,0,100.0
2014-08-01,490883.89,-46134.77000000002,-8.590906319717087,774319.0,Dota 2,0,76.0
2014-09-01,477998.45,-12885.440000000002,-2.624946603971868,864261.0,Dota 2,0,68.0
2014-10-01,495693.04,17694.589999999967,3.701809074903897,880655.0,Dota 2,0,64.0
2014-11-01,528789.8,33096.76000000007,6.676865989484152,963810.0,Dota 2,0,65.0
2014-12-01,523940.32,-4849.48000000004,-0.917090306961299,936583.0,Dota 2,0,63.0
2015-01-01,558504.33,34564.00999999995,6.596936460244166,961737.0,Dota 2,0,69.0
2015-02-01,628970.41,70466.08000000007,12.616926353999814,1262612.0,Dota 2,0,69.0
2015-03-01,571713.15,-57257.26000000001,-9.10333126800035,1213940.0,Dota 2,0,59.0
2015-04-01,526061.73,-45651.42000000004,-7.985021859301302,929677.0,Dota 2,0,57.0
2015-05-01,580348.42,54286.69000000006,10.31945243384271,967674.0,Dota 2,0,68.0
2015-06-01,568448.32,-11900.100000000091,-2.0505095887053666,913997.0,Dota 2,0,62.0
2015-07-01,554991.01,-13457.30999999994,-2.3673761583110915,877264.0,Dota 2,0,64.0
2015-08-01,606943.98,51952.96999999997,9.361047127592206,933942.0,Dota 2,0,77.0
2015-09-01,508156.85,-98787.13,-16.276152866694552,888728.0,Dota 2,0,60.0
2015-10-01,521941.72,13784.869999999995,2.7127195077661543,917306.0,Dota 2,0,52.0
2015-11-01,539536.33,17594.609999999986,3.3709913053127822,943635.0,Dota 2,0,48.0
2015-12-01,573344.25,33807.92000000004,6.266106306502111,999452.0,Dota 2,0,54.0
2016-01-01,612174.78,38830.53000000003,6.77263790471432,1067949.0,Dota 2,0,47.0
2016-02-01,709178.26,97003.47999999998,15.8457164798589,1248394.0,Dota 2,0,45.0
2016-03-01,672554.89,-36623.37,-5.164198067774948,1291328.0,Dota 2,0,44.0
2016-04-01,656944.37,-15610.52000000002,-2.321077466257069,1164041.0,Dota 2,0,44.0
2016-05-01,623798.67,-33145.69999999995,-5.045434821216285,1075307.0,Dota 2,0,47.0
